Title,Journal,CitesURL,ClusterID,AuthorNames,Source,Year,ArticleURL,Cites
Organofluorine compounds: chemistry and applications,,"/scholar?cites=9679264355456131114&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",9679264355456131114,T Hiyama , books.google.com, ,https://books.google.com/books?hl=en&lr=&id=s9Cje7UnRhIC&oi=fnd&pg=PA1&dq=%22Kyoto+University%22&ots=SGKp_kHeby&sig=r9P9hN0xy0fx8ttBBio4L0aodHY,912
Dynamic porous properties of coordination polymers inspired by hydrogen bonds, ,"/scholar?cites=8406410166472385595&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",8406410166472385595,"S Kitagawa, K Uemura ", pubs.rsc.org,C,http://pubs.rsc.org/en/content/articlehtml/2005/cs/b313997m,967
Enzymatic polymerization, ,"/scholar?cites=2627358916354907504&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",2627358916354907504,"S Kobayashi, H Uyama, S Kimura ", ACS Publications,C,http://pubs.acs.org/doi/pdf/10.1021/cr990121l,726
"Wood and Cellulosic Chemistry, Revised, and Expanded",,"/scholar?cites=13007857878418884437&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",13007857878418884437,"DNS Hon, N Shiraishi ", books.google.com, ,https://books.google.com/books?hl=en&lr=&id=pKiTzbEDy1QC&oi=fnd&pg=PR3&dq=%22Kyoto+University%22&ots=YNPufD-GeN&sig=FgTVPmyaLjnpBjTmYlXZba4KFqY,462
Induction of pluripotent stem cells from adult human fibroblasts by defined factors, ,"/scholar?cites=14730998643579277345&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",14730998643579277345,"K Takahashi, K Tanabe, M Ohnuki, M Narita, T Ichisaka… ", Elsevier,c,http://www.sciencedirect.com/science/article/pii/S0092867407014717,9148
Foxp3+ CD25+ CD4+ natural regulatory T cells in dominant self‐tolerance and autoimmune disease, ,"/scholar?cites=6220412308316159733&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",6220412308316159733,"S Sakaguchi, , R Setoguchi, H Yagi… ", Wiley Online Library,I,http://onlinelibrary.wiley.com/doi/10.1111/j.0105-2896.2006.00427.x/full,1124
α-Klotho as a regulator of calcium homeostasis, ,"/scholar?cites=4582821924523499663&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",4582821924523499663,"A Imura, Y Tsuji, M Murata, R Maeda, K Kubota… ", sciencemag.org,S,http://www.sciencemag.org/content/316/5831/1615.short,216
"Rhodium-catalyzed asymmetric 1, 4-addition and its related asymmetric reactions", ,"/scholar?cites=12133731329632468507&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",12133731329632468507,"T Hayashi, K Yamasaki ", ACS Publications,C,http://pubs.acs.org/doi/pdf/10.1021/cr020022z,878
Cyclic porphyrin arrays as artificial photosynthetic antenna: synthesis and excitation energy transfer, ,"/scholar?cites=8662693157536631483&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",8662693157536631483,"Y Nakamura, N Aratani, A Osuka ", pubs.rsc.org,C,http://pubs.rsc.org/en/content/articlehtml/2007/cs/b618854k,217
Polymerization reactions in porous coordination polymers, ,"/scholar?cites=11323267315256447313&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",11323267315256447313,"T Uemura, N Yanai, S Kitagawa ", pubs.rsc.org,C,http://pubs.rsc.org/en/content/articlehtml/2009/cs/b802583p,307
Title,Journal,CitesURL,ClusterID,AuthorNames,Source,Year,ArticleURL,Cites
Organofluorine compounds: chemistry and applications,,"/scholar?cites=9679264355456131114&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",9679264355456131114,T Hiyama , books.google.com, ,https://books.google.com/books?hl=en&lr=&id=s9Cje7UnRhIC&oi=fnd&pg=PA1&dq=%22Kyoto+University%22&ots=SGKp_kIeaz&sig=3U8hNPbJb6UTtz1AYdOH1L4KvE0,912
Dynamic porous properties of coordination polymers inspired by hydrogen bonds, ,"/scholar?cites=8406410166472385595&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",8406410166472385595,"S Kitagawa, K Uemura ", pubs.rsc.org,C,http://pubs.rsc.org/en/content/articlehtml/2005/cs/b313997m,967
Enzymatic polymerization, ,"/scholar?cites=2627358916354907504&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",2627358916354907504,"S Kobayashi, H Uyama, S Kimura ", ACS Publications,C,http://pubs.acs.org/doi/pdf/10.1021/cr990121l,726
"Wood and Cellulosic Chemistry, Revised, and Expanded",,"/scholar?cites=13007857878418884437&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",13007857878418884437,"DNS Hon, N Shiraishi ", books.google.com, ,https://books.google.com/books?hl=en&lr=&id=pKiTzbEDy1QC&oi=fnd&pg=PR3&dq=%22Kyoto+University%22&ots=YNPufD0GdO&sig=Q5ZtbsiADla8JpR4kvNyPtr6Aoo,462
Induction of pluripotent stem cells from adult human fibroblasts by defined factors, ,"/scholar?cites=14730998643579277345&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",14730998643579277345,"K Takahashi, K Tanabe, M Ohnuki, M Narita, T Ichisaka… ", Elsevier,c,http://www.sciencedirect.com/science/article/pii/S0092867407014717,9148
Foxp3+ CD25+ CD4+ natural regulatory T cells in dominant self‐tolerance and autoimmune disease, ,"/scholar?cites=6220412308316159733&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",6220412308316159733,"S Sakaguchi, M Ono, R Setoguchi, H Yagi… ", Wiley Online Library,I,http://onlinelibrary.wiley.com/doi/10.1111/j.0105-2896.2006.00427.x/full,1124
α-Klotho as a regulator of calcium homeostasis, ,"/scholar?cites=4582821924523499663&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",4582821924523499663,"A Imura, Y Tsuji, M Murata, R Maeda, K Kubota… ", sciencemag.org,S,http://www.sciencemag.org/content/316/5831/1615.short,216
"Rhodium-catalyzed asymmetric 1, 4-addition and its related asymmetric reactions", ,"/scholar?cites=12133731329632468507&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",12133731329632468507,"T Hayashi, K Yamasaki ", ACS Publications,C,http://pubs.acs.org/doi/pdf/10.1021/cr020022z,878
Cyclic porphyrin arrays as artificial photosynthetic antenna: synthesis and excitation energy transfer, ,"/scholar?cites=8662693157536631483&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",8662693157536631483,"Y Nakamura, N Aratani, A Osuka ", pubs.rsc.org,C,http://pubs.rsc.org/en/content/articlehtml/2007/cs/b618854k,217
Polymerization reactions in porous coordination polymers, ,"/scholar?cites=11323267315256447313&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",11323267315256447313,"T Uemura, N Yanai, S Kitagawa ", pubs.rsc.org,C,http://pubs.rsc.org/en/content/articlehtml/2009/cs/b802583p,307
Title,Journal,CitesURL,ClusterID,AuthorNames,Source,Year,ArticleURL,Cites
Organofluorine compounds: chemistry and applications,,"/scholar?cites=9679264355456131114&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",9679264355456131114,T Hiyama , books.google.com, 2000 ,https://books.google.com/books?hl=en&lr=&id=s9Cje7UnRhIC&oi=fnd&pg=PA1&dq=%22Kyoto+University%22&ots=SGKp_kJ8cv&sig=cjiN-b9YSi5Z2W996scOsqT5Mp8,912
Dynamic porous properties of coordination polymers inspired by hydrogen bonds, Chemical Society Reviews,"/scholar?cites=8406410166472385595&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",8406410166472385595,"S Kitagawa, K Uemura ", pubs.rsc.org, 2005 ,http://pubs.rsc.org/en/content/articlehtml/2005/cs/b313997m,967
Enzymatic polymerization, Chemical Reviews,"/scholar?cites=2627358916354907504&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",2627358916354907504,"S Kobayashi, H Uyama, S Kimura ", ACS Publications, 2001 ,http://pubs.acs.org/doi/pdf/10.1021/cr990121l,726
"Wood and Cellulosic Chemistry, Revised, and Expanded",,"/scholar?cites=13007857878418884437&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",13007857878418884437,"DNS Hon, N Shiraishi ", books.google.com, 2000 ,https://books.google.com/books?hl=en&lr=&id=pKiTzbEDy1QC&oi=fnd&pg=PR3&dq=%22Kyoto+University%22&ots=YNPufD1AfK&sig=Ajeyum0Sp7m-06C_ThUV09XoLQI,462
Induction of pluripotent stem cells from adult human fibroblasts by defined factors, cell,"/scholar?cites=14730998643579277345&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",14730998643579277345,"K Takahashi, K Tanabe, M Ohnuki, M Narita, T Ichisaka… ", Elsevier, 2007 ,http://www.sciencedirect.com/science/article/pii/S0092867407014717,9148
Foxp3+ CD25+ CD4+ natural regulatory T cells in dominant self‐tolerance and autoimmune disease, Immunological  …,"/scholar?cites=6220412308316159733&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",6220412308316159733,"S Sakaguchi, M Ono, R Setoguchi, H Yagi… ", Wiley Online Library, 2006 ,http://onlinelibrary.wiley.com/doi/10.1111/j.0105-2896.2006.00427.x/full,1124
α-Klotho as a regulator of calcium homeostasis, Science,"/scholar?cites=4582821924523499663&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",4582821924523499663,"A Imura, Y Tsuji, M Murata, R Maeda, K Kubota… ", sciencemag.org, 2007 ,http://www.sciencemag.org/content/316/5831/1615.short,216
"Rhodium-catalyzed asymmetric 1, 4-addition and its related asymmetric reactions", Chemical reviews,"/scholar?cites=12133731329632468507&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",12133731329632468507,"T Hayashi, K Yamasaki ", ACS Publications, 2003 ,http://pubs.acs.org/doi/pdf/10.1021/cr020022z,878
Cyclic porphyrin arrays as artificial photosynthetic antenna: synthesis and excitation energy transfer, Chemical Society Reviews,"/scholar?cites=8662693157536631483&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",8662693157536631483,"Y Nakamura, N Aratani, A Osuka ", pubs.rsc.org, 2007 ,http://pubs.rsc.org/en/content/articlehtml/2007/cs/b618854k,217
Polymerization reactions in porous coordination polymers, Chemical Society Reviews,"/scholar?cites=11323267315256447313&as_sdt=5,33&sciodt=0,33&hl=en&oe=ASCII",11323267315256447313,"T Uemura, N Yanai, S Kitagawa ", pubs.rsc.org, 2009 ,http://pubs.rsc.org/en/content/articlehtml/2009/cs/b802583p,307
